Id,Original Sentence,Corrected Sentence
390,Ne yazık ki başarılı insalar aniden değişiverdi ve burnu hava da bir insan olur.,Ne yazık ki başarılı insanlar aniden değişiverir ve burnu havada bir insan olur.
480,Ama nasıl zenginlik?,Ama nasıl bir zenginlik?
482,Okuldan eve uzaklık nasıl?,Okuldan eve uzaklık ne kadar?
500,Tamir yapmak için ellerimizden gelen yaptık.,Tamir etmek için elimizden geleni yaptık.
494,Bu nedenle iki dil bilen insan; ona iki insan diyoruz.,"Bu nedenle iki dil bilen insana"" iki insan diyoruz."
389,"Eskiden bir ata söz var, ʺNe ekersen onu biçersenʺ.","Eskiden bir atasözü vardı, ʺNe ekersen onu biçersin."""
433,Üniversiten şehir dışında olduğundan hiç üzülme.,Üniversiten şehir dışında olduğuna hiç üzülme.
465,1 ay yapar 2ay yapar ama hayatı boyunca yapamaz.,"1 ay yapar, 2 ay yapar ama hayatı boyunca yapamaz."
392,"Benim ilk okuldayken, ailemız hiç araba yok, bizim evimiz de çok küçük, evde sadece bir motosiklet var, her gün babam bizi okula getirir.","Ben ilkokuldayken ailemizin hiç arabası yoktu. Bizim evimiz de çok küçüktü, evde sadece bir motosiklet vardı, her gün babam bizi okula götürürdü."
485,"İkinci olarak, kitap okumak alışkanlığı zihinsel geliştirmesi sağlar ve onun sahipi çok fayda getirir.","İkinci olarak, kitap okuma alışkanlığı zihinsel gelişimi sağlar ve   sahibine çok fayda getirir."
453,Sevdiği ve yetenekli olduğu işi tercih eden kişiler rahat ve konforlu hayatı yaşayabilirler.,Sevdiği ve yetenekli olduğu işi tercih eden kişiler rahat ve konforlu bir hayat yaşayabilirler.
864,Sonra aile de yanında olacak ve bu senin için daha iyi.,Sonra ailen de yanında olacak ve bu senin için daha iyi.
439,"Sıkıntılı derken, mesela sen ders çalışırken veya sınav için hazırlanırken oda arkadaşların görültülü yaparlar.",Sıkıntılı derken mesela sen ders çalışırken veya sınav için hazırlanırken oda arkadaşların gürültü yaparlar.
461,Aağlıklı yaşam olanın kişinin olmazsa olmaz olmazlarındandır.,Sağlıklı yaşam   kişinin olmazsa   olmazlarındandır.
435,Benim tecrübelerden kaç okusan da hayatta sorunlara hazır değilsin.,Benim tecrübelerime ne kadar okusan da hayattaki sorunlara hazır olmazsın.
406,"dört dörtlük bir işte çalışmak için insanın çok okuması ve çalışması gerekmektedir, insan ne kadar eğitim düzeyi yüksek olursa o kadar rahat bir işte çalışır.",Dört dörtlük bir işte çalışmak için insanın çok okuması ve çalışması gerekmektedir. İnsanın eğitim düzeyi ne kadar yüksek olursa o kadar rahat bir işte çalışır.
463,Sosyal medya yüzenden ınsan ailesinden biraz uzak oldu.,Sosyal medya yüzünden insan ailesinden biraz uzaklaştı.
415,Mesela birinin karakteri böyledi ki insalara yardım edir.,Mesela birinin mizacında insanlara yardım etmek var.
390,Aynı zamanda çok zenginmiş istediği şey parası kullanark satın alırmış.,"Aynı zamanda çok zenginmiş, istediği şeyi parasını kullanarak satın alırmış."
435,"Çünkü o daha önce praktik yapmadı, o dili hiç duymadı sadece kitaptan kelimeleri ve cümleleri okudu.","Çünkü o daha önce pratik yapmamıştır, o dili hiç duymamıştır, sadece kitaptan kelimeleri ve cümleleri okumuştur."
450,Yüksek lisans yeniden Türkiye'de okumak istiyorum çünkü çok fırsat veriyorlar.,Yüksek lisansı yine Türkiye'de yapmak istiyorum çünkü çok fırsat veriyorlar.
404,"Bu teknoloji istesek istemesekte hayatımıza girmiş durumundadır, bizim sıklıkla televizyon izleyecek vaktimiz yoktur ancak onun yerini akıllı telefonlar ve internet doldurulmuştur.","Bu teknoloji istesek de istemesek de hayatımıza girmiş durumdadır, bizim çoğu zaman televizyon izleyecek vaktimiz olmuyor ancak onun yerini akıllı telefonlar ve internet almıştır."
477,"Mesela, Türkiye gelmeden önce, bana dediler ki türkler çok kısa boyludur.","Mesela, Türkiye gelmeden önce bana dediler ki Türkler çok kısa boyludur."
497,Günlük hayatımızda mutlu olun.,Günlük hahayatınızdautlu olun.
862,"Benim gorüşumde başarı bir paketdir, Hayatımızdaki herşeyi dozunda yaptığımız surece daha başarılı olabiliriz.",Benim görüşümde başarı bir pakettir. Hayatımızdaki her şeyi dozunda yaptığımız sürece daha başarılı olabiliriz.
445,"İlk sene yurtta kalmak iyidir şehire, insanlara ve ortamı tanıma başlarsın, yurtta yaşamak daha güvenli oluyor, ama yurtta kilerle uyum salamak biraz zor o yüzden yurttan ayrılıp eve geçmek, yalnız ve ya tanıdığın arkadaşınla bir evde yaşamak daha huzurlu olur, bir yandan da tüm sorumluluklar kendi üzerine kalır hatta ailenin gelip gitmesi bile evde daha iyi olur, rahat ederler.","İlk sene yurtta kalmak iyidir. Şehri, insanları ve ortamı tanımaya başlarsın. Yurtta yaşamak daha güvenli oluyor ama yurttakilere uyum sağlamak biraz zor. O yüzden yurttan ayrılıp eve geçmek, yalnız veya tanıdığın arkadaşınla bir evde yaşamak daha huzurlu olur. Öbür yandan da tüm sorumluluk sana ait olur. Hatta ailenin gelip gitmesi bile evde daha iyi olur, rahat ederler."
448,"İkincisi, insanlar yut dışında yabancı gibi hissediyor çünkü bazı insanlar onlara kötü davranıyor mesela Afrikalılara çok kötü davranıyor garip ve kötü isimler ona söylüyor.","İkincisi, insanlar yurt dışında kendisini yabancı   hissediyor çünkü bazı insanlar onlara kötü davranıyor. Mesela Afrikalılara çok kötü davranıyorlar onlara garip ve kötü isimler takıyorlar."
438,Ama bence yurtta bu sörunlarla yaşamayacaksın.,Ama bence yurtta bu sorunları yaşamayacaksın.
478,"Bana göre haklıydılar, çünkü evin sorumluluğu vardır.",Bana göre haklıydılar çünkü evin sorumluluğu vardır.
448,Bu yeni yerler genellikle çok ilginç ve çok iyi ki eğlenebilirsin.,"Bu yeni yerler genellikle çok ilginç ve çok iyi, dolayısıyla oralarda."
866,Ülkemde en iyi doktorlar hastanemde çalışmak için fırsat vereceğim.,Ülkemdeki en iyi doktorlara hastanemde çalışmak için fırsat vereceğim.
867,"Sevdiğimiz meslek yapmak için sadece bir fırsat var, bu yüzunden bu firsat değerlenmeliz ve en doğru en sevdiğimiz meleği yapmalıyız, oysa ki pişman olcağız.","Sevdiğimiz mesleği yapmak için sadece bir fırsat var, bu yüzden bu fırsatı değerlendirmeliyiz ve en doğrusu en sevdiğimiz mesleği yapmalıyız yoksa pişman olacağız."
415,O durumda da hep kendine diyor ʺBu insana iyilik yapmayacağimʺ.,"O durumda da hep kendine ""Bu insana iyilik yapmayayapmayacağım."""
484,O zaman benim düşünceme göre gezen insanlar daha bilgilidir çünkü görmek inanmaktır.,Demek ki benim düşünceme göre gezen insanlar daha bilgilidir çünkü görmek inanmaktır.
408,"Zira her şey, Allah'ın istemesiyle yani bilinçli Bir şekilde oluşmuştur.",Zira her şey Allah'ın istemesiyle yani bilinçli bir şekilde oluşmuştur.
398,Bu yüzden dünya'ya sevmeliyiz diyorum.,Bu yüzden dünyayı sevmeliyiz diyorum.
486,Çoğu yurtların fiyatları düşük ve iyi olurken bazılar epey pahalı hatta tüm 3 odalı apartmandan daha yüksek fiyatlıdır.,"Çoğu yurdun fiyatları düşük ve iyiyken bazılarınınki epey pahalı, hatta   3 odalı daireden daha yüksek fiyatlıdır."
448,Yurt dışında olumlu ve olumsuz yönlerini anlattım.,Yurt dışında yaşamanın olumlu ve olumsuz yönlerini anlattım.
480,Eğer yalnız kalmak sevimiyorsan o zaman bir arkadaş bulmalısın ve belki birlikte eve yaşayabilirsiniz.,Eğer yalnız kalmayı sevmiyorsan o zaman bir arkadaş bulmalısın ve   evde birlikte yaşayabilirsiniz.
481,Biz ne kadar çok dil bilirsek o kadar bilgiye sahip olabiliriz ve bu bilgileri etrafımızdakilere aktararak kendimizi geliştire biliriz.,Biz ne kadar çok dil bilirsek o kadar çok bilgiye sahip olabiliriz ve bu bilgileri etrafımızdakilere aktararak kendimizi geliştirebiliriz.
422,"Ama eğer sessizliği seversen, evde yurttan daha rahat yaşayabilirsin.",Ama eğer sessizliği seviyorsan evde kalman yurtta kalmandan daha rahat olacaktır.
450,Daha önce duydum ki Türkiye'deki hastaneler çok iyimiş bundan dolayı Türkiye'ye geldim.,Daha önce duymuştum ki Türkiye'deki hastaneler çok iyiymiş bundan dolayı Türkiye'ye geldim.
430,İlk başında ailenden uzakta yaşamaktan da biraz zorlanacaksın ama o zorluluklar geride kalacak.,İlk başta ailenden uzakta yaşadığından da biraz zorlanacaksın ama o zorluklar geride kalacak.
433,"Bir de yurdun ücretini eve kıyaslarsak, yurt daha ucuzdur.",Bir de yurdun ücretini evinkiyle kıyaslarsak yurt daha ucuzdur.
399,Benim hayalımda öyle bir dünya hiç bir zaman aklıma hala gelmedi.,  Dünyanın bu hale gelebileceği hiç   aklıma   gelmemişti.
423,Sıkıntılı hayat yaşamaya öğrenmek lazım.,Sıkıntılı hayat yaşamayı öğrenmek lazım.
493,Bir öğrenci olarak yurda kalmak çok olumlu yönleri var.,Bir öğrenci olarak yurtta kalmanın çok olumlu yönü var.
466,Çünkü kişi küçük yaşlarda zamanın önemini öğrenirse artık faydalı işlerle uğraşır böylece ailesine ve çevresine yardım edebilir.,"Çünkü kişi küçük yaşlarda zamanın önemini öğrenirse artık faydalı işlerle uğraşır, böylece ailesine ve çevresine yardım edebilir."
392,"Motosiklette biz birlikte biniyorduk, motosikleti süren kişi tabi ki babam, ablam ve küçük kardeşim ile de o motosiklete bindik.","Motosiklete biz birlikte biniyorduk, motosikleti süren kişi tabii ki babamdı, ablam ve küçük kardeşim ile biz de o motosiklete bindik."
444,Şunların hiçbirini gözden edemeyiz.,Bunların hiçbirini göz ardı edemeyiz.
459,Ayrıca Sosiyal Midiyaya bağımlı olan insanlar gerçek hayatan uzak oluyorlar.,Ayrıca sosyal medyaya bağımlı olan insanlar gerçek hayattan uzaklaşıyorlar.
503,"İnsan hangisinin bahçesi var çok şanslı, çünkü doğal meyveleri ve sebzelerı kendisi büyütebilir.",Bahçesi olan insan çok şanslı çünkü doğal meyveleri ve sebzeleri kendisi yetiştirebilir.
394,"Bu zamanda çok az olumlu bir şey yaptım, küçükken ailem bana iyi olmaya öğretiyordu.","Bu süre zarfında çok fazla iyilik yapmadım, oysaki küçükken ailem bana iyi olmayı öğretiyordu."
440,Ama yanlız olduğum için yurtta kalmayı tercih ettim çünkü hem masraflar konusunda hem de yanlızlığım konusunda benim için daha iyi bir seçenekti.,Ama yanlız olduğum için yurtta kalmayı tercih ettim çünkü hem masraflar açısından hem de yalnızlığım açısından benim için daha iyi bir seçenekti.
410,Bizim çoğumuz doğuldıgımız zamandan üniversiteni bitirinceye kadar eğitim alırız bu süre çok uzun devam eder.,Bizim çoğumuz doğduğumuz zamandan üniversiteyi bitirinceye kadar eğitim alırız. Bu süreç çok uzun devam eder.
390,Kaldı ki evi bırakıp başka bir eve tanışmış.,Kaldı ki evi bırakıp başka bir eve taşınmış.
412,"Bunun değerini anlayıp yanlış yapmaktan çekinmemeli, başarı elde edene kadar araştırmalıyız.","Bunun değerini anlayıp yanlış yapmaktan çekinmemeli, başarıyı elde edene kadar araştırmalıyız."
448,Bu sebeple çeşitli iletişim kurabilirsin.,Bu sebeple çeşitli insanlarla iletişim kurabilirsin.
488,Ders çalışmaya daha kolay olacak çünkü başka kızlar ile çalışacaksın ve berberenizi yardım edebilirsiniz.,Ders çalışman daha kolay olacak çünkü başka kızlar ile çalışacaksın ve birbirinize yardım edebileceksiniz.
487,Uzun zaman geçmeden hayatım gerçek oldu.,Çok geçmeden hayalim gerçek oldu.
480,Ama aynı zamanda bu pahalı olabilir ve bazen yalnız yaşamak kolay değil.,Ama aynı zamanda bu pahalı olabilir ve bazen yalnız yaşamak kolay olmayacak.
482,Ya uzak ya yakın bilmenin lazim.,Uzakta yoksa yakında mı olduğunu bilmen lazım.
463,Sosyal medya nasıl olduğunu bizim elimizde o zaman sosyal medya kullanırken bilinçli olmalıyız.,Sosyal medyanın nasıl olduğu bize bağlı. Demek ki sosyal medyayı kullanırken bilinçli olmalıyız.
499,"Salı günü mağazamıza gelen, klimanın durumuna göre inşallah bir karar vereceğiz.","Salı günü mağazamıza gelin, klimanın durumuna göre inşallah bir karar vereceğiz."
450,Cennete gitmek en önemli bir plan benim için.,Cennete gitmek benim için en önemli plan.
467,Dünyada pek çok kişi var ki karar veremiyor.,Dünyada karar veremeyen pek çok kişi var.
438,Başarılı deliyorum.,Başarılar diliyorum.
456,"Bazılar kabul etmeyebilir ve söyleyebilir bana, kaybettiğimiz insanlar kaybettiğimiz zamandan daha önemlidir.","Bazıları kabul etmeyebilir ve bana, ""Kaybettiğimiz insanlar kaybettiğimiz zamandan daha önemlidir."" diyebilir."
441,"Bence sende ilk dönemlerde yurtta kalmalısın ve daha sonra, kendi şartlarını göz önünde bulundurarak, daha kolay karar vereceksindir.",Bence sen de ilk dönemlerde yurtta kalmalısın ve daha sonra kendi şartlarını göz önünde bulundurarak daha kolay karar vereceksindir.
494,"Örneğin ben Türkiye'de iş bulmak istiyorum ve başka insan, o da iş bulmak istiyor ama üç veya dört tane biliyorum ancak o sadece bir tane biliyor.",Örneğin ben Türkiye'de iş bulmak istiyorum ve başka bir iinsan da iş bulmak istiyor ama ben üç veya dört tane dil biliyorum ancak o sadece bir tane biliyor.
501,Fazla yağlı ya da tuzlu yemek yememeliyiz.,Fazla yağlı ya da tuzlu yeyemekleriememeliyiz.
417,"Bazı insanlar yurt dışında yaşamak kolay ve eğlencili zaneder ama maalesef zannettiği gibi değildir, hele öğrenciler için çünkü vatan dışında yaşarken başka alışkanlıklar başka gelenekseller başka düzen karşılaşır ve buna alışmalıdir, maaşı sınırlıysa arkadaşlarından ayın sonunda borç alabilir, ülkesindeki aileler, tanıdıklar ve kankalarını özleyecektir ama merak etmeyin, yurt dışında yaşamak elbette olumlu yönleri vardır.","Bazı insanlar yurt dışında yaşamak kolay ve eğlenceli diye zanneder ama maalesef zannedildiği gibi değildir. Hele öğrenciler için çünkü yurt dışında yaşarken başka alışkanlıklarla başka geleneklerle başka düzenle karşılaşırlar ve buna alışmalıdırlar. Gelirleri sınırlıysa arkadaşlarından ayın sonunda borç alabilirler, ülkelerindeki ailelerini, tanıdıklarını ve kankalarını özleyeceklerdir ama merak etmeyin, yurt dışında yaşamanın elbette olumlu yönleri vardır."
478,"Aslında yurdun olumsuz yönleri de var, örneğin öğrencilerin kavgaları, tuvalet sırası, vb...","Aslında yurdun olumsuz yönleri de var, örneğin öğrencilerin kavgaları, tuvalet sırası, vb."
469,Sağlımızı korunması sayesinde ulaşacak zararların önüne geçmiş oluruz.,Sağlığımızın korunması sayesinde olası zararların önüne geçmiş oluyoruz.
420,aynı zamanda pişman olabiliriz.,Aynı zamanda pişman olabiliriz.
495,"Senin şimdiki sorunun anlıyorum, ama endişelenme.",Senin şimdiki sorununu anlıyorum ama endişelenme.
452,Bunun için onların sosyal hayatlarında da gül gibi geçinirler.,Bunun için kendi sosyal hayatlarında da gül gibi geçinirler.
467,"Hangi iş daha iyi yapabilirsin, becerebilirsin ve sonunda başarılı ve mutlu olacaksın.","Hangi işi daha iyi yapabilirsin, becerebilirsin ve sonunda başarılı ve mutlu olacaksın."
424,"En önemli nokta, ev yurtaya göre daha pahalıdır.","En önemli nokta, ev yurda göre daha pahalıdır."
466,İnsanlar için en değerli hazinelerden biri olan zamandır.,"İnsanlar için en değerli hazinelerden biri , zamandır."
452,"Bu insanlar para için değil, sevdiği ve yetenekli olduğu işleri yapıyor.","Bu insanlar çok para kazandığı işleri değil, sevdiği ve yetenekli olduğu işleri yapıyor."
485,"Aynı zamanda, gezen insan farklı kültürler ve normler yaşar.","Aynı zamanda, gezen insan farklı kültürler ve normları yaşar."
458,"Bu yuzden hayatımızı boş geçirmemeliyiz, zamanın kıymetini bilmeliyiz.","Bu yüzden hayatımızı boş geçirmemeliyiz, zamanın kıymetini bilmeliyiz."
416,HER ŞEY ZAMANLA DEĞİŞİR Her şey zamanla değiştiğini ve değişeceğini inanıyorum.,HER ŞEY ZAMANLA DEĞİŞİR Her şeyin zamanla değiştiğini ve değişeceğini inanıyorum.
463,Sosyal medyanın bağımlılığı Günümüzde teknoloji gelişmesi sayesinde sosyal medya bulunmaktadır.,Sosyal Medya Bağımlılığı Günümüzde teknolojinin gelişmesi sayesinde sosyal medya ortaya çıkmıştır.
459,"Sosiyal Midiya çok kullanmanın çocukları ailesinden, arkadaşlarından ve normal Hayatlan uzak tutar.","Sosyal medyayı çok kullanmak çocukları ailesinden, arkadaşlarından ve normal hayattan uzak tutar."
392,"Gülme komşuna gelir başına, yani başkalarının eksiklerini gülmeyin, bizim başımıza gelebilir.","Gülme komşuna gelir başına, yani başkalarının eksiklerine gülmeyin, sizin başınıza da gelebilir."
399,"Dünya'da savaslar olmasa, teknoloji daha güçlü olabilecektir.",Dünyada savaşlar olmazsa teknoloji daha güçlü olabilecektir.
449,ikinci şey hobimizin yolunda gitmeye mecburuz.,İkinci olarak ne seviyorsak onu yapmaya mecburuz.
487,Sınıf arkadaşlarmla birlikte Türkçe öğrenerek ve konuşarak onları iyi tanımaya fırsat buldum.,Sınıf arkadaşlarımla birlikte Türkçe öğrenerek ve konuşarak onları iyi tanıma fırsatı buldum.
429,"En son, eğer farklı dil biliyorsa en zengin bir dil olabilir, çünkü yeni dil yeni şans verebilir ve yeni kapı açabilir.","En son, eğer farklı bir dil biliyorsan zengin olabilirsin, çünkü yeni bir dil yeni şanslar verebilir ve yeni kapıları açabilir."
452,Arkadaşlarıyla iyi geçinmiyorlar ve hayatı zar zor yaşarlar.,Arkadaşlarıyla iyi geçinmezler ve hayatı zar zor yaşarlar.
394,Ama şimdi birbirlerine yardım ediyoruz.,Ama şimdi birbirimize yardım ediyoruz.
500,"Aslında şirketinizin görevlisi ile konuştuk, onun cevabı aldığınızı klimanız sizin için görevlimiz tecrübe yaptı, deme ki satmaktan önce ürenimiz iyi çalışıyordu.","Aslında şirketimizin görevlisi ile konuştuk, onun cevabı aldığınız klimayı sizin için   test ettiği yönünde. Demek ki satmadan önce ürünümüz iyi çalışıyordu."
419,"sonuç olarak, mesleklerimiz seçince çok dikkatlı olmalıyız çünkü o sadece meslek değil bu hayat tipi ve bu hayatı sadace biz yaşacağız bu yüzden bu seçim sonuçları sadace biz katlanacağız bundan dolayı dikkatlı olmalıyız.","Sonuç olarak, mesleklerimizi seçerken çok dikkatli olmalıyız çünkü bu sadece bir meslek değil, bu bir hayat tarzı ve bu hayatı sadece biz yaşayacağız. Başka bir deyişle bu seçimin sonuçlarına sadece biz katlanacağız, bundan dolayı dikkatli olmalıyız."
408,Ben bazılarda şanslı ve bazları şanssız yani ben Türkçe öğrenmayı kursu kazandım.,Ben bazı konularda şanslıyım ve bazılarında şanssızım. Mesela ben Türkçe   kursuna kazandım.
465,2. Benim neye kabaletim var?,2. Benim neye kabiliyetim var?
412,"Bir insanın hayatı sadece okulu bitirmek, çalışmak, evlenip aile sahibi olmaktan İbaret olmamalıdır.","Bir insanın hayatı sadece okulu bitirmek, çalışmak, evlenip aile sahibi olmaktan ibaret olmamalıdır."
866,Küçük kardeşlerim için okul ve üniversite ücreti ödeyeceğim.,Küçük kardeşlerimin okul ve üniversite ücretini ödeyeceğim.
486,Maddi konular hakkında çok detay var olduğu için enine boyuna düşünmelisin.,Maddi konular ile ilgili çok detay   olduğu için enine boyuna düşünmelisin.
494,"Sonuç olarak, her yıl bir dil öğrenebilirsem seni tavsiye verdım çünkü senin için önemlidir.","Sonuç olarak, her yıl bir dil öğrenebilseydim sana tavsiye verirdim çünkü senin için önemlidir."
392,"Şimdi ben Türkiye'deyim, TÖMER'deyim, üniversite'deyim.","Şimdi ben Türkiye'deyim, TÖMER'deyim, üniversitedeyim."
468,Sosyal Medya herkese bir psiklojiğinin hastası yaptırdı.,Sosyal medya herkesi bir ruh hastası yaptı.
482,İk olarak mesafe çok önemli.,İlk olarak mesafe çok önemli.
415,Ama insanların karakteleri hiç değişilmez.,Ama insanların karakterleri hiç değişmez.
390,O çocukkenmış her zaman ders çalışırmış çok zekiymiş.,"O çocukken her zaman ders çalışırmış, çok zekiymiş."
402,Ahlaklı ve hoşgürülü insanlar gerçekten toplumun temellerinden biridir.,Ahlaklı ve hoşgörülü insanlar gerçekten toplumun temellerinden biridir.
462,Birbiriyle olan ilişkimize yardımcı oldu.,Birbirimizle olan ilişkiyi olumlu etkiledi.
423,Aile durumuna bakman lazım.,Ailenin durumuna bakman lazım.
487,Hayatta kolay hiç bir şey yok.,Hayatta kolay hiçbir şey yok.
447,"Aslında dünya ne kadar gelişse ve nüfus artsa, problemler de çok olacak.",Aslında dünya ne kadar gelişirse ve nüfus ne kadar arartarsa problemler de o kadar çok olur.
432,"Bu şehirde yeni olduğun için, yurtta kalmayı tavsiye ediyorum, çünkü o tecrübe yaşamalısın.","Bu şehirde yeni olduğun için yurtta kalmanı tavsiye ediyorum, çünkü o tecrübeyi yaşamalısın."
454,bence şehri senden uzak olduğu için daha enerji vereceksin ve yine de para harcayacaksın.,Bence bulunduğu şehir senden uzak olduğu için daha çok enerji   ve   para harcayacaksın.
456,Hayatımızın tekdüzelliğinden dolayı zamanımız fırlayıp uçuyor.,Hayatımızın tekdüzeliğinden dolayı zamanımız uçup gidiyor.
402,"Çevre kaygısla yasa saygısı, vakit yönetimi ve vatanseverlik iyi ve doğru bir ahlak almadan imkansiz.","Çevre ve yasalara saygı duyulması, zaman yönetimi ve vatanseverlik iyi ve doğru bir ahlak olmadan imkansız."
491,Yeni dil öğrenmek ve bilmek çok güzel ve keyifli birşey ve hayatta kişiye yeni bir hayat deyelim ki kazandırır.,Yeni dil öğrenmek ve bilmek çok güzel ve keyifli bir şey ve diyelim ki kişiye yeni bir hayat kazandırır.
494,Neden bunları yapıyorlar?,Bunu neden yapıyorlar?
409,"Zaman gittikçe eğitim her bir kişi, her bir toplum için önemi artmiştir.","Zaman geçtikçe her bir kişi, her bir toplum için eğitimin önemi artmıştır."
425,"Ayrıca, Türkçe “eklerle” dolu bir dildir.","Ayrıca, Türkçe eklerle dolu bir dildir."
390,Ayrıca bütün bilgileri hiç kimseyle paylaşmamış.,Ayrıca   bilgilerini hiç kimseyle paylaşmamış.
487,Kendi ülkemde hayatımın böylece değişeceyici hiç düşünmemiştim.,Kendi ülkemde hayatımın bu kadar değişeceğini hiç düşünmemiştim.
394,Başka bir insan yardım vermeliyiz çünkü hayatımızdan en önemli şey akhlaklı ve höşgörülü bir insan oldu.,Başka bir insana yardım etmeliyiz çünkü hayatımızdaki en önemli şey ahlaklı ve hoşgörülü bir insan olmak.
485,"Kanaatime göre, çok kitap okumaya bayılıyorum ve farklı fikirler, bakış acılar ve farklı insanların tecrübelerini keşfetmeyi çok seviyorum.","Bana gelince,   kitap okumaya bayılıyorum ve farklı fikirleri, bakış açılarını ve farklı insanların tecrübelerini keşfetmeyi çok seviyorum."
500,Hizmetlerimizden memnun kalmak için şirketimizin idareti size yeni bir klima vermeyi karar vermiştir.,Hizmetlerimizden memnun kalmanız için şirketimizin idaresi size yeni bir klima vermeyi karar vermiştir.
452,Çünkü pek çok insan için meslek “hayat” demektir.,Çünkü pek çok insan için meslek hayat demektir.
866,Hayatımda bir kefa Mekka’ya ve Medina'ya gitmek istiyorum.,Hayatımda bir defa Mekke'ye ve Medine'ye gitmek istiyorum.
409,İnsanlar simdiki dünyanin hiziye yetişebilmek için eğitim alması lazım.,İnsanların şimdiki dünyanın hızına yetişebilmek için eğitim alması lazım.
392,"Diyelim ki, eskide siz hiç araba yok, şimdi bizim 2 araba var, yeni bir eve taşındık.","Eskiden bizim hiç arabamız yoktu, şimdi bizim 2 arabamız var, yeni bir eve taşındık."
430,Yurdın kendi görevlisi var çok tehlikeli değil.,"Yurdun kendi görevlisi var, yurt tehlikeli değil."
441,"Diğer taraftan da evde ve yalnız yaşamak, Tüm sorunlarınla kendin başa çıkıp, çözmelisin demektir.","Diğer taraftan da evde ve yalnız yaşamak, tüm sorunlarınla kendin başa çıkmalısın demektir."
466,O kişilerin sözlerini okuduğumda ʺZamanı boşa harcamayınʺ Derler.,"O kişilerin sözlerini okuduğumda ʺZamanı boşa harcamayın."" derler."
479,Aslında o onda gerçek hayatın başlar.,Aslında o anda gerçek hayatın başlar.
413,Bende değiştim.,Ben de değiştim.
448,Bu çok önemli ama onlar uzakta o zaman katılmıyorlar.,Bu çok önemli ama onlar uzakta oldukları için seçimlere katılmıyorlar.
